,State,Marriages_2019,Marriages_2018,Marriages_2017,Marriages_2016,Marriages_2015,Marriages_2014,Marriages_2013,Marriages_2012,Marriages_2011,Marriages_2010,Marriages_2009,Marriages_2008,Divorces_2007,Marriages_2006,Marriages_2005,Marriages_2004,Divorces_2003,Marriages_2002,Marriages_2001,Marriages_2000,Marriages_1999,Marriages_1995,Marriages_1990,Divorces_2019,Divorces_2018,Divorces_2017,Divorces_2016,Divorces_2015,2014_Divorces,2013_Divorces,2012_Divorces,Divorces_2011,Divorces_2010,Divorces_2009,Divorces_2008,2007_y,Divorces_2006,Divorces_2005,Divorces_2004,2003_y,Divorces_2002,Divorces_2001,Divorces_2000,Divorces_1999,Divorces_1995,Divorces_1990
28,Nevada,25.9,26.7,28.6,28.4,31.0,31.9,32.3,35.1,36.9,38.3,40.3,42.3,48.6,52.1,57.4,62.1,63.9,67.4,69.6,72.2,82.3,85.2,99.0,4.2,4.4,4.5,4.3,4.6,5.3,5.1,5.5,5.6,5.9,6.6,6.4,6.4,6.7,7.4,6.3,7.3,7.1,6.3,9.9,7.8,7.8,11.4
29,New Hampshire,6.6,6.9,7.0,7.0,6.9,7.2,6.9,6.8,7.1,7.3,6.5,6.8,7.1,7.2,7.3,8.0,8.1,8.3,8.5,9.4,7.9,8.3,9.5,3.1,3.1,3.1,3.4,3.3,3.5,3.7,3.6,3.8,3.8,3.7,3.9,3.8,4.1,3.9,4.0,4.1,4.3,4.4,4.8,5.1,4.2,4.7
30,New Jersey,5.2,5.4,5.5,5.7,5.6,5.4,5.1,4.9,4.8,5.1,5.0,5.4,5.4,5.5,5.7,5.9,5.8,6.0,6.4,6.0,5.9,6.5,7.6,2.5,2.7,2.6,2.7,2.8,2.8,2.8,2.8,2.9,3.0,2.7,3.0,3.0,3.0,2.9,3.0,3.2,3.4,3.4,3.0,3.0,3.0,3.0
31,New Mexico,6.0,6.4,5.9,6.4,6.2,8.1,7.3,6.9,8.0,7.7,5.0,4.0,5.6,6.8,6.6,7.4,6.9,7.9,7.6,8.0,8.0,8.8,8.8,NULL,NULL,NULL,NULL,3.3,3.6,3.4,3.0,3.3,4.0,3.9,4.1,4.2,4.3,4.6,4.6,5.2,4.4,4.9,5.1,4.6,6.6,4.9
32,New York,7.2,7.1,7.3,7.5,7.1,6.7,6.9,7.0,6.9,6.5,6.5,6.6,6.8,6.9,6.8,6.8,6.8,7.3,7.6,7.1,7.3,8.0,8.6,2.9,2.8,2.7,2.7,2.7,2.8,2.7,2.9,2.9,2.9,2.6,2.8,2.9,3.1,2.9,3.0,3.2,3.4,3.5,3.0,3.3,3.0,3.2
33,North Carolina,6.2,6.4,6.8,7.0,7.0,6.9,6.5,6.6,6.7,6.6,6.6,6.9,7.0,7.3,7.3,7.3,7.4,7.7,7.4,8.2,8.5,8.4,7.8,3.1,3.1,3.1,3.2,3.1,3.4,3.4,3.7,3.7,3.8,3.8,3.8,4.0,4.0,4.1,4.2,4.2,4.4,4.6,4.5,4.6,5.0,5.1
34,North Dakota,5.4,5.7,5.8,6.0,6.2,6.3,6.3,6.6,6.7,6.5,6.4,6.5,6.6,6.7,6.8,6.9,7.1,6.8,6.5,7.2,6.6,7.1,7.5,2.5,2.6,2.5,2.6,2.8,2.8,2.9,3.1,2.7,3.1,2.8,2.9,2.9,3.0,2.9,3.1,2.9,2.9,2.9,3.4,4.4,3.4,3.6
35,Ohio,5.3,5.6,5.8,6.0,5.9,5.8,5.7,5.8,5.9,5.8,5.8,6.0,6.1,6.3,6.5,6.6,6.7,7.0,7.2,7.8,7.8,8.0,9.0,2.8,2.9,2.9,3.0,3.1,3.2,3.3,3.4,3.4,3.4,3.3,3.3,3.4,3.5,3.5,3.6,3.7,4.0,4.0,4.2,3.9,4.3,4.7
36,Oklahoma,6.3,6.4,6.8,6.7,7.4,7.1,7.1,6.9,6.9,7.2,6.9,7.1,7.3,7.3,7.3,6.5,NULL,NULL,NULL,NULL,6.8,8.6,10.6,3.9,3.8,4.1,4.4,4.4,4.5,4.5,4.8,5.2,5.2,4.8,5.3,5.2,5.3,5.6,4.9,NULL,NULL,NULL,NULL,NULL,6.6,7.7
37,Oregon,6.0,6.3,6.7,6.9,6.9,6.8,6.3,6.6,6.6,6.5,6.6,6.9,7.2,7.3,7.3,8.1,7.2,7.1,7.5,7.6,7.6,8.1,8.9,3.2,3.4,3.4,3.4,3.4,3.4,3.6,3.8,3.8,4.0,3.9,3.9,3.9,4.0,4.2,4.1,4.3,4.6,4.8,4.8,4.6,4.7,5.5
